Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_Nano_v3.x,Arduino_Nano,73.533,-88.138,180.0,top
C1,68pf,C_Disc_D3.4mm_W2.1mm_P2.50mm,47.498,-107.95,-90.0,top
C2,100nf,C_Disc_D3.4mm_W2.1mm_P2.50mm,38.608,-108.164,90.0,top
C3,100uf,CP_Radial_D5.0mm_P2.50mm,41.402,-80.727113,90.0,top
C4,10uf,CP_Radial_D5.0mm_P2.50mm,90.424,-86.658888,-90.0,top
C5,10uf,CP_Radial_D5.0mm_P2.50mm,90.424,-79.800888,-90.0,top
C6,10uf,CP_Radial_D5.0mm_P2.50mm,90.424,-93.262888,-90.0,top
C7,10uf,CP_Radial_D5.0mm_P2.50mm,111.5,-80.044887,-90.0,top
C8,100nf,C_Disc_D3.4mm_W2.1mm_P2.50mm,106.934,-79.502,90.0,top
C9,100nf,C_Disc_D3.4mm_W2.1mm_P2.50mm,58.908,-87.884,0.0,top
D1,LED,LED_D3.0mm,92.71,-107.696,90.0,top
D2,LED,LED_D3.0mm,86.614,-107.696,90.0,top
J1,AudioJack3,jack_3.5_pj313d-smt,41.402,-69.484,180.0,top
J3,DE9_Socket_MountingHoles,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,100.076,-70.050331,180.0,top
R1,33R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,42.926,-104.14,-90.0,top
R2,330R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,103.632,-108.712,0.0,top
R3,330R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,103.632,-105.41,180.0,top
R4,"2,2K",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,62.865,-76.962,90.0,top
U1,SN76489AN,DIP-16_W7.62mm,56.393,-99.822,0.0,top
U2,MAX232,DIP-16_W7.62mm_LongPads,99.822,-87.122,0.0,top
Y1,3.579 Mhz,Oscillator_DIP-14,54.61,-75.692,90.0,top
Y2,SG-7050CCN,Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm,54.864,-73.846,0.0,top
Y3,XO32,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,54.597,-80.205,90.0,top
